CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-Y WEIGHT
0.07899342 19.54220009 18.86658859 18.76209068 18.52803040 18.37779808 1.0
0.20772989 21.75337029 21.27158928 21.06367874 20.96500587 20.83290291 1.0
0.27394962 21.56324196 20.19112968 19.85972977 19.41951752 19.25543213 1.0
0.22549260 21.56332397 20.51509285 20.29777718 20.00337982 19.83647728 1.0
0.08264463 23.66492081 23.65975761 23.46016312 23.58383560 21.97847748 1.0
0.25031778 21.93557358 21.53242683 21.55962753 21.36217499 21.33624268 1.0
0.28709146 23.71941566 23.27580261 23.18620491 23.05748177 22.43746376 1.0
0.20180885 21.31360817 21.02138329 20.86502266 20.76459312 20.61703300 1.0
0.29958528 22.58213806 22.10885811 22.05765724 21.85317993 21.77587891 1.0
0.25992349 21.02254868 19.88271904 19.66613388 19.37250137 19.14836884 1.0
0.25648633 21.38912964 20.67911148 20.38166618 20.16302490 20.13365364 1.0
0.23874459 20.97036171 19.78987122 19.37755394 19.08348846 18.92042542 1.0
0.12415045 20.28923035 19.73733902 19.51856804 19.25992775 19.02146530 1.0
0.06517699 19.81176186 19.26618767 19.09506226 18.87423134 18.76251411 1.0
0.17719181 20.73978806 20.29611206 20.08439064 19.99255180 19.91386795 1.0
0.21222721 22.78818512 22.49960899 22.44602776 22.37420464 22.21228600 1.0
0.19950737 22.21565628 22.01103973 21.78124428 21.73427010 21.52439880 1.0
0.29740363 22.98680305 22.61643791 22.53512573 22.35121727 22.10288048 1.0
0.06342109 20.77292061 20.88312149 20.97610664 20.87563515 20.52127838 1.0
0.23135245 20.85141373 20.05630684 19.63062668 19.33458519 19.22212791 1.0
0.19905861 20.41709900 19.27421379 18.95273781 18.62598038 18.39557076 1.0
0.21559717 20.38510132 19.18853951 18.84557533 18.55094719 18.40543175 1.0
0.21465607 20.93478584 19.86458778 19.53283501 19.21477509 18.88427353 1.0
0.29260728 22.31248474 21.76897812 21.59813881 21.40275383 21.35693741 1.0
0.29141843 23.05770302 22.63253403 22.43277931 22.28242111 22.45920944 1.0
0.19032240 20.74802971 20.15847969 19.76453400 19.60480118 19.49234772 1.0
0.17803988 20.37809563 19.46502876 19.06579590 18.77016449 18.62928963 1.0
0.24525197 22.44380188 22.03569794 21.91784286 21.88915062 21.88714790 1.0
0.19445698 22.27300262 21.69684219 21.41953659 21.24741173 21.09950066 1.0
0.14948970 19.89290619 19.22656059 18.94632339 18.75419807 18.75517082 1.0
0.19860221 19.89367294 19.40035820 19.24679565 18.99205971 18.88667488 1.0
0.24088059 20.64957619 20.25938606 20.15435219 20.15823555 20.08036804 1.0
0.15337865 22.14163399 21.87684441 22.01505470 22.04122162 21.82414246 1.0
0.23688108 21.33031654 20.85840988 20.65236092 20.55805588 20.55649948 1.0
0.24521253 20.47867584 19.79950523 19.53300476 19.40477180 19.19067955 1.0
0.25685930 24.69089699 24.17143822 24.18718147 23.84676170 22.81830025 1.0
0.29556003 21.00449753 20.23694992 19.89086151 19.60706139 19.62703514 1.0
0.05975437 19.85971260 19.49089622 19.42021942 19.37010193 19.29049873 1.0
0.26490858 21.01229095 19.70993423 19.20335770 18.98225784 18.83881760 1.0
0.19543841 20.30048180 19.23378372 18.86024666 18.58209419 18.33172989 1.0
0.21384616 20.95907593 20.61319923 20.38394547 20.29500198 20.17082405 1.0
0.26615342 22.46916962 21.46712685 20.95743179 20.63091850 20.35455513 1.0
0.27533337 22.56461525 22.20095444 21.88438225 21.88093376 21.94310570 1.0
0.17047207 23.52733803 23.25122452 23.27400398 23.43255234 99.00000000 1.0
